Date;Hour;Weather;Temp °c;Feels Like °c;Wind km/h;Gust km/h;Cloud %;Humidity %;Precip mm;Pressure mb
01/01/2018;0:00;Partlycloudy;4;5;4 WSW;6;0.32;0.89;0.0;1020
01/01/2018;3:00;Clear;4;3;7 SSW;11;0.12;0.87;0.0;1020
01/01/2018;6:00;Sunny;4;3;9 SSW;15;0.09;0.81;0.0;1019
01/01/2018;9:00;Sunny;8;8;9 SW;11;0.12;0.6;0.0;1018
01/01/2018;12:00;Sunny;10;11;5 W;6;0.13;0.53;0.0;1017
01/01/2018;15:00;Sunny;8;8;4 SW;7;0.16;0.63;0.0;1017
01/01/2018;18:00;Clear;7;7;7 S;14;0.14;0.65;0.0;1016
01/01/2018;21:00;Clear;7;6;8 SSE;16;0.09;0.68;0.0;1016
02/01/2018;0:00;Clear;7;7;8 SE;15;0.05;0.69;0.0;1014
02/01/2018;3:00;Clear;7;6;10 SE;21;0.04;0.69;0.0;1013
02/01/2018;6:00;Overcast;7;5;12 SE;24;0.97;0.7;0.0;1012
02/01/2018;9:00;Overcast;11;10;9 SE;12;0.97;0.62;0.0;1011
02/01/2018;12:00;Sunny;13;13;10 S;14;0.17;0.53;0.0;1009
02/01/2018;15:00;Partlycloudy;11;11;8 SSW;16;0.52;0.68;0.0;1010
02/01/2018;18:00;Cloudy;10;10;6 S;12;0.83;0.75;0.0;1010
02/01/2018;21:00;Partlycloudy;10;10;6 SE;11;0.38;0.75;0.0;1010
03/01/2018;0:00;Partlycloudy;9;8;9 ESE;18;0.32;0.79;0.0;1010
03/01/2018;3:00;Patchyrainpossible;8;7;9 SE;18;0.26;0.83;1.0;1009
03/01/2018;6:00;Partlycloudy;8;8;6 SE;11;0.51;0.85;0.0;1009
03/01/2018;9:00;Lightdrizzle;10;9;8 SE;11;0.94;0.8;0.6;1009
03/01/2018;12:00;Partlycloudy;10;9;9 E;12;0.48;0.78;0.0;1008
03/01/2018;15:00;Partlycloudy;8;8;6 NE;11;0.54;0.84;0.0;1008
03/01/2018;18:00;Partlycloudy;7;8;4 ENE;8;0.39;0.88;0.0;1008
03/01/2018;21:00;Cloudy;7;8;1 ESE;2;0.66;0.88;0.0;1008
04/01/2018;0:00;Overcast;7;8;3 SSE;4;0.93;0.88;0.0;1007
04/01/2018;3:00;Lightdrizzle;7;8;4 S;6;0.91;0.88;0.2;1007
04/01/2018;6:00;Cloudy;7;7;6 SSW;10;0.8;0.87;0.0;1006
04/01/2018;9:00;Partlycloudy;10;10;2 S;2;0.33;0.77;0.1;1006
04/01/2018;12:00;Sunny;11;11;8 NE;9;0.2;0.68;0.0;1004
04/01/2018;15:00;Partlycloudy;8;7;11 NNE;18;0.26;0.83;0.0;1005
04/01/2018;18:00;Cloudy;7;5;12 NNE;18;0.87;0.93;0.0;1006
04/01/2018;21:00;Overcast;7;6;9 NNE;14;1;0.94;0.1;1008
05/01/2018;0:00;Overcast;7;6;9 N;13;1;0.92;0.0;1009
05/01/2018;3:00;Lightrain;7;6;9 N;12;1;0.93;0.8;1011
05/01/2018;6:00;Overcast;7;5;9 NNW;12;1;0.92;0.0;1012
05/01/2018;9:00;Lightdrizzle;7;6;9 NNW;11;0.97;0.89;0.4;1013
05/01/2018;12:00;Cloudy;8;7;7 NNW;8;0.87;0.81;0.0;1014
05/01/2018;15:00;Partlycloudy;7;7;4 NW;5;0.41;0.82;0.0;1016
05/01/2018;18:00;Partlycloudy;5;6;1 SE;2;0.51;0.85;0.0;1017
05/01/2018;21:00;Clear;5;8;4 SE;4;0;0.87;0.0;1019
06/01/2018;0:00;Clear;5;6;5 ESE;7;0.06;0.87;0.0;1019
06/01/2018;3:00;Clear;5;7;6 SE;7;0.01;0.87;0.0;1020
06/01/2018;6:00;Sunny;5;4;6 SSE;11;0.17;0.83;0.0;1022
06/01/2018;9:00;Sunny;9;10;6 SE;7;0.05;0.65;0.0;1022
06/01/2018;12:00;Sunny;11;12;6 E;7;0.16;0.52;0.0;1022
06/01/2018;15:00;Sunny;9;10;5 ENE;9;0.04;0.64;0.0;1022
06/01/2018;18:00;Clear;7;10;5 SE;8;0;0.68;0.0;1023
06/01/2018;21:00;Clear;7;7;9 SE;16;0;0.66;0.0;1025
07/01/2018;0:00;Clear;7;7;11 SE;20;0.01;0.65;0.0;1025
07/01/2018;3:00;Clear;6;5;10 SSE;22;0.09;0.65;0.0;1026
07/01/2018;6:00;Sunny;7;6;10 SSE;20;0.02;0.64;0.0;1027
07/01/2018;9:00;Sunny;11;13;9 SSE;10;0;0.54;0.0;1027
07/01/2018;12:00;Sunny;14;15;6 WSW;7;0.03;0.47;0.0;1027
07/01/2018;15:00;Sunny;10;12;3 W;5;0.04;0.63;0.0;1028
07/01/2018;18:00;Clear;9;10;6 SSE;13;0.03;0.64;0.0;1029
07/01/2018;21:00;Clear;9;9;7 S;15;0.03;0.64;0.0;1030
08/01/2018;0:00;Clear;8;9;8 SSW;15;0.05;0.66;0.0;1031
08/01/2018;3:00;Clear;8;11;6 SSW;8;0.02;0.7;0.0;1032
